player,points_mean,rebounds_mean,assists_mean,blocks_mean,steals_mean
LaMarcus Aldridge,16.12820513,8.974358974,1.307692308,0.923076923,0.333333333
Carmelo Anthony,21.725,7.6,4.025,0.525,0.9
Harrison Barnes,12.62962963,4.481481481,1.740740741,0.185185185,0.888888889
Bradley Beal,19.19047619,4.380952381,3.142857143,0.285714286,1.047619048
Jimmy Butler,22.41463415,5.024390244,4.292682927,0.756097561,1.756097561
Mike Conley,15.05405405,2.783783784,5.918918919,0.324324324,1.27027027
DeMarcus Cousins,26.18181818,11.24242424,2.696969697,1.272727273,1.303030303
Stephen Curry,29.87804878,5.292682927,6.463414634,0.146341463,2.097560976
Anthony Davis,23.11111111,10.47222222,1.777777778,2.444444444,1.277777778
DeMar DeRozan,23.07142857,4.523809524,4.142857143,0.333333333,1.023809524
Andre Drummond,17.61904762,15.38095238,0.857142857,1.523809524,1.714285714
Kevin Durant,26.54054054,7.783783784,4.405405405,1.189189189,0.972972973
Kenneth Faried,12.33333333,8.861111111,1.138888889,1.055555556,0.472222222
Rudy Gay,17.92307692,6.820512821,1.717948718,0.692307692,1.256410256
Paul George,23.73809524,7.476190476,3.952380952,0.261904762,2
Draymond Green,14.54761905,9.5,7.428571429,1.333333333,1.30952381
Blake Griffin,23.23333333,8.666666667,4.966666667,0.566666667,0.7
James Harden,27.59090909,6.068181818,6.863636364,0.636363636,1.5
Gordon Hayward,19.80952381,5,3.452380952,0.30952381,1.214285714
Dwight Howard,14.43243243,12.08108108,1.540540541,1.594594595,1
Andre Iguodala,7.534883721,4.302325581,3.465116279,0.372093023,1.279069767
Kyrie Irving,15.78571429,2.857142857,3.857142857,0.214285714,0.714285714
LeBron James,25.07692308,7.179487179,6,0.692307692,1.41025641
DeAndre Jordan,11.71794872,13.48717949,0.974358974,2.384615385,0.538461538
Kawhi Leonard,20.075,7.025,2.575,0.9,1.95
Kevin Love,15.625,10.875,2.375,0.55,0.9
Chris Paul,18.22222222,3.805555556,9.583333333,0.138888889,2.083333333
Klay Thompson,20.6097561,3.87804878,2.341463415,0.780487805,0.487804878
John Wall,19.92682927,4.243902439,9.658536585,0.731707317,2.146341463
Russell Westbrook,24.04545455,7.113636364,9.818181818,0.25,2.5
